Name,TaxID
Saimiri sciureus sciureus,190117
Megaladapis edwardsi,185953
Hapalemur griseus JF2002,185596
Lepilemur sp. RANO235,185591
Lepilemur sp. RANO234,185590
Lepilemur sp. RANO236,185458
Lepilemur microdon,185457
Gorilla gorilla uellensis,183511
Alouatta guariba clamitans,183328
Ateles fusciceps robustus,183327
Alouatta belzebul belzebul,182257
Alouatta guariba,182256
Alouatta seniculus seniculus,182254
Alouatta pigra,182253
Alouatta palliata aequatorialis,182252
Alouatta palliata trabeata,182251
Alouatta palliata palliata,182250
Alouatta palliata coibensis,182249
Alouatta palliata mexicana,182248
Macaca fuscata yakui,179089
Sapajus xanthosternos,174599
Sapajus apella apella,174598
Propithecus diadema marshi,171947
Propithecus diadema diadema,171945
Macaca hecki x tonkeana,171293
Simias concolor,170207
Macaca maura x tonkeana,168259
Aotinae gen. sp.,168015
Cercopithecus cephus ngottoensis,167131
Cercopithecus erythrotis,167130
Trachypithecus pileatus,164651
Trachypithecus geei,164650
Piliocolobus badius,164648
Procolobus,164647
Alouatta stramineus,163110
Cercopithecus erythrogaster,161496
Hylobates sp. TIB-201,150249
Allochrocebus solatus,147650
Allochrocebus preussi,147649
Microcebus griseorufus,143354
Microcebus sambiranensis,143353
Microcebus berthae,143352
Microcebus tavaratra,143351
Microcebus myoxinus,143283
Galago matschiei,135486
Colobus guereza kikuyuensis,132548
Avahi occidentalis,132108
Ateles hybridus,129801
Megaladapis sp.,126594
Megaladapis,126593
Trachypithecus cristatus,122765
Leontocebus tripartitus,122388
Allocebus,122247
Avahi laniger,122246
Avahi,122245
Microcebus rufus,122232
Microcebus ravelobensis,122231
Lepilemur edwardsi,122230
Propithecus verreauxi verreauxi,122229
Eulemur sanfordi,122225
Eulemur fulvus albocollaris,122224
Hapalemur aureus,122222
Hapalemur griseus occidentalis,122221
Hapalemur griseus alaotrensis,122220
Hapalemur griseus griseus,122219
Alouatta sara,121123
unclassified Ateles,120432
Aotus azarai azarai,120088
Ateles sp. haplotype Afr27,119640
Ateles sp. haplotype Agp13,119639
Ateles sp. haplotype Abh19,119638
Ateles sp. haplotype Afr21,119634
Ateles sp. haplotype Afr20,119633
Ateles sp. haplotype Afr19,119632
Ateles sp. haplotype Agsubspp. 16,119631
Ateles sp. haplotype Abh11,119630
Ateles sp. haplotype Abh10,119629
Ateles sp. haplotype Abh9,119628
Ateles geoffroyi yucatanensis,118649
Ateles geoffroyi vellerosus,118648
Ateles geoffroyi panamensis,118647
Ateles belzebuth marginatus,118644
Ateles chamek,118643
Callicebus sp.,116962
Galagoides zanzibaricus,111174
Galago gallarum,111173
Nycticebus sp.,108082
Papio cynocephalus cynocephalus,106398
Cercopithecus pogonias,102108
Chlorocebus aethiops aethiops,101841
Xanthonycticebus pygmaeus,101278
Papio papio,100937
Chlorocebus aethiops vervet,100936
Saguinus sp.,100754
Cercopithecus mona mona,100489
Miopithecus ogouensis,100488
Cercopithecus petaurista,100487
